Episode: 243/1000, Scores(Time Frames): 150, Total Rewards(adjusted): 4e+02, Epsilon: 0.1
Episode: 244/1000, Scores(Time Frames): 202, Total Rewards(adjusted): 7.6e+02, Epsilon: 0.1
Episode: 245/1000, Scores(Time Frames): 184, Total Rewards(adjusted): 7.2e+02, Epsilon: 0.1
Episode: 246/1000, Scores(Time Frames): 310, Total Rewards(adjusted): 1.1e+03, Epsilon: 0.1
Episode: 247/1000, Scores(Time Frames): 209, Total Rewards(adjusted): 5.7e+02, Epsilon: 0.1
Episode: 248/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6.7e+01, Epsilon: 0.1
Episode: 249/1000, Scores(Time Frames): 203, Total Rewards(adjusted): 4.7e+02, Epsilon: 0.1
Episode: 250/1000, Scores(Time Frames): 132, Total Rewards(adjusted): 4.3e+02, Epsilon: 0.1
Episode: 251/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.8e+02, Epsilon: 0.1
Episode: 252/1000, Scores(Time Frames): 184, Total Rewards(adjusted): 5.2e+02, Epsilon: 0.1
Episode: 253/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.7e+02, Epsilon: 0.1
Episode: 254/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.6e+01, Epsilon: 0.1
Episode: 255/1000, Scores(Time Frames): 135, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.1
Episode: 256/1000, Scores(Time Frames): 260, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.1
Episode: 257/1000, Scores(Time Frames): 137, Total Rewards(adjusted): 2e+02, Epsilon: 0.1
Episode: 258/1000, Scores(Time Frames): 200, Total Rewards(adjusted): 6.8e+02, Epsilon: 0.1
Episode: 259/1000, Scores(Time Frames): 129, Total Rewards(adjusted): 4.5e+02, Epsilon: 0.1
Episode: 260/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.5e+02, Epsilon: 0.1
Episode: 261/1000, Scores(Time Frames): 199, Total Rewards(adjusted): 7.2e+02, Epsilon: 0.1
