Episode: 246/1000, Scores(Time Frames): 448, Total Rewards(adjusted): 5.2e+02, Epsilon: 0.12
Episode: 247/1000, Scores(Time Frames): 279, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.11
Episode: 248/1000, Scores(Time Frames): 261, Total Rewards(adjusted): 2.9e+02, Epsilon: 0.11
Episode: 249/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 6.6e+01, Epsilon: 0.11
Episode: 250/1000, Scores(Time Frames): 349, Total Rewards(adjusted): 4e+02, Epsilon: 0.11
Episode: 251/1000, Scores(Time Frames): 267, Total Rewards(adjusted): 2.8e+02, Epsilon: 0.11
Episode: 252/1000, Scores(Time Frames): 206, Total Rewards(adjusted): 1.6e+02, Epsilon: 0.11
Episode: 253/1000, Scores(Time Frames): 304, Total Rewards(adjusted): 3e+02, Epsilon: 0.11
Episode: 254/1000, Scores(Time Frames): 472, Total Rewards(adjusted): 5.8e+02, Epsilon: 0.1
Episode: 255/1000, Scores(Time Frames): 182, Total Rewards(adjusted): 1.7e+02, Epsilon: 0.1
Episode: 256/1000, Scores(Time Frames): 303, Total Rewards(adjusted): 2.2e+02, Epsilon: 0.1
Episode: 257/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 4.7e+02, Epsilon: 0.099
Episode: 258/1000, Scores(Time Frames): 182, Total Rewards(adjusted): 1.9e+02, Epsilon: 0.098
Episode: 259/1000, Scores(Time Frames): 437, Total Rewards(adjusted): 3.6e+02, Epsilon: 0.096
Episode: 260/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 4.9e+02, Epsilon: 0.094
Episode: 261/1000, Scores(Time Frames): 290, Total Rewards(adjusted): 3.1e+02, Epsilon: 0.092
Episode: 262/1000, Scores(Time Frames): 233, Total Rewards(adjusted): 2e+02, Epsilon: 0.091
Episode: 263/1000, Scores(Time Frames): 353, Total Rewards(adjusted): 3.8e+02, Epsilon: 0.09
Episode: 264/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.8e+01, Epsilon: 0.089
Episode: 265/1000, Scores(Time Frames): 289, Total Rewards(adjusted): 2.8e+02, Epsilon: 0.088
